iter	Logloss
0	0.6155974386
1	0.5526657947
2	0.4902341385
3	0.4397696873
4	0.3977699402
5	0.3529095845
6	0.3185663627
7	0.2877054373
8	0.2567195258
9	0.2289659846
10	0.204820858
11	0.18100412
12	0.1605384527
13	0.1431618736
14	0.1289315947
15	0.1147383816
16	0.1024167014
17	0.09123785118
18	0.08211593091
19	0.0737401427
20	0.06654190202
21	0.06029093695
22	0.05426803091
23	0.04940181232
24	0.04475084076
25	0.04058214487
26	0.0367922404
27	0.03363664341
28	0.03091139355
29	0.02834075493
30	0.026111168
31	0.02408275792
32	0.02225745425
33	0.02057594465
34	0.01908795004
35	0.0177465064
36	0.01657369553
37	0.01541616431
38	0.01440653829
39	0.01349849493
40	0.01272957659
41	0.01198027647
42	0.01131092365
43	0.01073457374
44	0.01015789285
45	0.009640439348
46	0.009107992966
47	0.008662160656
48	0.008282867345
49	0.007929698578
50	0.007542122715
51	0.007245147833
52	0.006930441219
53	0.006665604165
54	0.006437936948
55	0.006219436207
56	0.006012802427
57	0.005816836621
58	0.005636849491
59	0.00546863942
60	0.005319094961
61	0.005171060824
62	0.005037169324
63	0.004912671055
64	0.004800345628
65	0.00469259812
66	0.004592702375
67	0.00449365976
68	0.004401258841
69	0.004317243764
70	0.004225673327
71	0.004149022862
72	0.004074510792
73	0.004010790623
74	0.003945817825
75	0.003882782852
76	0.003821636676
77	0.003765218893
78	0.003716815018
79	0.003670776653
80	0.003616434273
81	0.003572883166
82	0.003530144403
83	0.003490186195
84	0.003446062387
85	0.003409621098
86	0.003375916187
87	0.003343254282
88	0.003306168305
89	0.003274398024
90	0.00324074345
91	0.003211174388
92	0.003191630995
93	0.00316333254
94	0.003126976169
95	0.003105905866
96	0.003084705581
97	0.003061991811
98	0.003042691104
99	0.00301917736
100	0.003005689381
101	0.002994484712
102	0.002965968527
103	0.002946606712
104	0.002937287963
105	0.002923125047
106	0.002907591777
107	0.00289421811
108	0.002882223191
109	0.002870005463
110	0.002859891036
111	0.002846573682
112	0.002834339626
113	0.00282495701
114	0.002818698032
115	0.002803528741
116	0.00279349118
117	0.002779281992
118	0.002771405883
119	0.002761890652
120	0.00275146824
121	0.002743085181
122	0.002736260956
123	0.002729508172
124	0.002724861219
125	0.002717482637
126	0.0027093504
127	0.002702746471
128	0.002697872509
129	0.002692989122
130	0.002684271972
131	0.002675650045
132	0.002664759683
133	0.002655359325
134	0.002642955908
135	0.002632549638
136	0.002625803553
137	0.002613108784
138	0.002598924871
139	0.002582936171
140	0.002576100423
141	0.002572431989
142	0.002557071881
143	0.002547666611
144	0.002544742697
145	0.002540729713
146	0.002537575316
147	0.002534081541
148	0.002531975854
149	0.002521744953
150	0.00251771657
151	0.00250353622
152	0.002493821153
153	0.002490038707
154	0.002483722381
155	0.002479886545
156	0.002471146267
157	0.002464203842
158	0.002458501282
159	0.002449569214
160	0.002439649448
161	0.002432351766
162	0.00242826916
163	0.002424138668
164	0.002420317628
165	0.00241598745
166	0.002411645669
167	0.002407071544
168	0.002402210344
169	0.002394559495
170	0.002389081303
171	0.002383618475
172	0.002373240931
173	0.002367956802
174	0.002361504858
175	0.002358234716
176	0.002351337825
177	0.002348742043
178	0.002346465296
179	0.002335729008
180	0.002332810342
181	0.002329024711
182	0.002324276668
183	0.002319383462
184	0.002308860957
185	0.002304686868
186	0.002300397805
187	0.002297960873
188	0.002289531142
189	0.002284169147
190	0.002277667705
191	0.002274146975
192	0.002265909696
193	0.002258228359
194	0.002255887239
195	0.002251565144
196	0.002245284705
197	0.002241634925
198	0.002238758189
199	0.002234974318
200	0.002231739253
201	0.002227515441
202	0.002225408824
203	0.002223671931
204	0.002216786553
205	0.00221076794
206	0.002207514353
207	0.002203708321
208	0.002199226512
209	0.002196108544
210	0.002191281029
211	0.002187820727
212	0.002184440648
213	0.00217770812
214	0.002175648135
215	0.00217204121
216	0.00216986151
217	0.002167469378
218	0.002162294388
219	0.002156441771
220	0.002153757062
221	0.002151413964
222	0.00214613696
223	0.002141492619
224	0.002139007284
225	0.002135293143
226	0.002133289363
227	0.002131624742
228	0.002126869376
229	0.002123979807
230	0.002118929841
231	0.002116183528
232	0.00211421336
233	0.002112274141
234	0.002110720541
235	0.002105187316
236	0.002103749279
237	0.002100449277
238	0.002094271678
239	0.002091362569
240	0.002089286336
241	0.002087647473
242	0.002085779569
243	0.0020804696
244	0.00207889241
245	0.002076882225
246	0.002074542324
247	0.002071081037
248	0.002067339916
249	0.002066023474
250	0.00206349668
251	0.002061796658
252	0.002059244695
253	0.002055569225
254	0.002053763239
255	0.002051910345
256	0.002047223228
257	0.002045505775
258	0.002044690834
259	0.002043203939
260	0.00204172539
261	0.00203870871
262	0.00203680998
263	0.002030863393
264	0.002028260472
265	0.002026141441
266	0.002022693581
267	0.002020714466
268	0.002016885204
269	0.002014378745
270	0.002012447996
271	0.00200918827
272	0.002004068433
273	0.002002940333
274	0.001999953944
275	0.001997635639
276	0.001995572016
277	0.001991155443
278	0.001989176577
279	0.001985365878
280	0.001979475663
281	0.001977895762
282	0.00197729989
283	0.001975224836
284	0.00197089091
285	0.001969757527
286	0.001967791815
287	0.001965622879
288	0.001961385862
289	0.001956710916
290	0.001955072519
291	0.001953427814
292	0.001951476461
293	0.001948352654
294	0.001944333495
295	0.001940715873
296	0.001939527433
297	0.001938212311
298	0.001936956404
299	0.001931238198
300	0.001927494856
301	0.001922846063
302	0.001919971356
303	0.001918018611
304	0.001913774029
305	0.001910723058
306	0.001908990349
307	0.001906948169
308	0.001905342514
309	0.001903506215
310	0.001901267371
311	0.001899570904
312	0.001898074753
313	0.001894520105
314	0.001893033772
315	0.001890457166
316	0.001886819016
317	0.001885401818
318	0.00188244254
319	0.001880113953
320	0.001877844065
321	0.001875133586
322	0.001871598971
323	0.001868141921
324	0.001865149485
325	0.00186278015
326	0.001860641317
327	0.001857574237
328	0.001851858436
329	0.001850444895
330	0.001849410347
331	0.001845785269
332	0.00184355967
333	0.001841934717
334	0.001839566732
335	0.001836288353
336	0.001833322591
337	0.001831535939
338	0.001829162041
339	0.001827344593
340	0.001825946924
341	0.001821262063
342	0.001818810613
343	0.001815028471
344	0.001810721285
345	0.001808184075
346	0.001807048138
347	0.001805347005
348	0.001804223082
349	0.001801599469
350	0.0018003578
351	0.00179766812
352	0.001795434914
353	0.001793389364
354	0.001789440745
355	0.001788603006
356	0.001786493302
357	0.001783872366
358	0.00178099416
359	0.001778401914
360	0.001777278781
361	0.001774511187
362	0.00177367274
363	0.001770314879
364	0.001768190263
365	0.001765367181
366	0.001762281229
367	0.00175996583
368	0.001758430841
369	0.001756742445
370	0.001754571267
371	0.001750209696
372	0.001748114113
373	0.001746697059
374	0.001744679776
375	0.001741721891
376	0.001739954477
377	0.00173804332
378	0.001737034983
379	0.001735732594
380	0.001733422752
381	0.00173071299
382	0.001726768421
383	0.001725344353
384	0.001721279981
385	0.001718435645
386	0.001716583091
387	0.001715375789
388	0.001710338275
389	0.001707513532
390	0.001706114445
391	0.001703142234
392	0.001701954103
393	0.00169988927
394	0.001696082852
395	0.001695172277
396	0.001693719321
397	0.001691808168
398	0.001689808177
399	0.001688036817
400	0.001684551637
401	0.001683401661
402	0.001681488334
403	0.001679652839
404	0.001676561423
405	0.001675647605
406	0.001672366967
407	0.001671187714
408	0.001670106954
409	0.001667047472
410	0.001665433632
411	0.001664386982
412	0.001663236615
413	0.001660662127
414	0.00165811846
415	0.001655512408
